gene 	 shG9a_E2-
RP11-57I17.3 	 0
TSEN15P2 	 0
BSN-AS1 	 0
SYNJ2-IT1 	 1
RP4-728D4.3 	 0
AC103563.9 	 0
RP11-4M23.7 	 0
RP11-216M21.4 	 0
RP11-384C4.7 	 0
AC009237.2 	 0
RP11-213G2.5 	 2
AC108056.1 	 0
RP5-1142J19.1 	 0
RP11-425D10.1 	 0
OR2AD1P 	 0
RP11-366I21.1 	 0
AL953889.1 	 0
AC009950.1 	 1
IL12RB2 	 0
MIR4500HG 	 0
GOLGA2P4 	 0
RP4-710M16.1 	 0
RPL7AP38 	 0
KCNQ1DN 	 0
RP4-635A23.3 	 0
RP11-239L20.3 	 0
AC073271.1 	 1
RP13-392I16.1 	 0
AC046143.6 	 0
EEF1A1P39 	 0
AL121656.5 	 0
AC002542.2 	 0
AC008079.9 	 0
KRTAP4-16P 	 0
AC004112.5 	 0
RP11-536K7.5 	 0
RP11-297H3.4 	 0
RP11-38O23.7 	 0
AC092170.1 	 0
RP1-137D17.1 	 0
RP11-89N17.4 	 1
AL355490.1 	 0
RP11-269F20.1 	 0
RP11-175I6.5 	 0
RP11-380G5.4 	 0
RP11-334A14.8 	 0
RP11-33N11.1 	 0
RP11-551G24.2 	 0
FGF16 	 0
CBX1P4 	 0
METTL11B 	 0
RP5-1065J22.2 	 0
RP11-33D13.2 	 1
ATP6V1E1P1 	 0
RP11-324I22.2 	 0
RP11-30B1.1 	 0
RP11-510H23.1 	 0
RP11-298J23.5 	 0
RP11-12L8.1 	 1
RP11-157F20.1 	 0
RP5-934G17.6 	 0
CCDC36 	 0
SNAP25-AS1 	 0
AC114765.2 	 0
RP5-837O21.4 	 0
RP4-639F20.1 	 0
RP11-168P8.5 	 0
AC084149.1 	 0
AC128709.3 	 0
NCF1C 	 0
RPL7P54 	 2
SOX21-AS1 	 0
RP11-366O20.2 	 0
RP11-38O14.5 	 0
RP11-218I7.2 	 0
SPATA31C1 	 0
RPS3AP29 	 0
AC096775.2 	 0
RP11-121A14.3 	 0
RP13-507I23.2 	 1
MTND4P32 	 0
AC016682.1 	 0
RP3-395P12.2 	 0
AC007163.8 	 1
CHCHD4P5 	 0
RP11-554D15.3 	 0
CROCCP5 	 0
RP5-930J4.2 	 0
AC008174.3 	 0
AC104654.2 	 0
AL163953.2 	 2
AC011899.10 	 0
SLC14A1 	 0
AP004289.1 	 0
RP11-358D14.2 	 0
PGCP1 	 0
MOBP 	 0
ZNF630-AS1 	 0
RP11-241K18.2 	 0
AC003958.6 	 0
RP11-165I9.6 	 0
AC007879.1 	 0
RP11-108B14.2 	 0
HLA-DPB2 	 0
LINC00028 	 0
RP11-740C1.2 	 0
RP11-241I20.4 	 0
AC104820.2 	 0
RP5-898J17.1 	 0
RP11-251P6.1 	 0
NDUFB1P1 	 0
NDP-AS1 	 0
AC007040.8 	 0
RP11-62L18.3 	 0
RP1-153P14.3 	 0
MRPS33P4 	 0
PADI6 	 0
CITF22-49D8.1 	 0
AC009227.2 	 0
RP11-560L11.1 	 0
RP1-249F5.3 	 0
RP11-115A15.4 	 0
FMO8P 	 0
RP11-240M16.1 	 0
DNMBP-AS1 	 0
AC023347.2 	 0
KCNA6 	 0
AP001631.10 	 2
RP11-159H3.1 	 0
RP11-95H8.5 	 0
HLA-DPA2 	 0
TCF7L1-IT1 	 0
RP11-542K23.7 	 1
HMGN2P24 	 1
RP11-113A10.1 	 0
RP11-336N8.3 	 0
TAS2R62P 	 2
AC007392.3 	 0
BACE2-IT1 	 0
ACP5 	 0
AL353698.1 	 0
CTD-2561J22.2 	 0
AC007364.1 	 0
PROX1-AS1 	 0
IGHV3-72 	 0
AC002398.5 	 0
CCT5P2 	 1
AKAP11-IT1 	 0
RPL3P8 	 2
LINC00112 	 0
RP11-296O14.2 	 0
RP11-464C19.3 	 0
RP1-104O17.3 	 2
AC023128.1 	 0
AC005037.4 	 2
RP11-478K15.1 	 0
RP11-694D5.1 	 0
KBTBD13 	 0
XXbac-BPG248L24.11 	 0
DSCR10 	 2
RP11-236F9.2 	 0
RP11-512N4.3 	 0
RP11-463P17.3 	 0
LINC00651 	 2
RP11-214L19.1 	 0
RP11-344N10.2 	 0
RPL23AP69 	 0
AC004112.4 	 0
RP11-173D14.3 	 2
AC099344.2 	 0
RP11-541F9.2 	 0
RP11-136K14.1 	 0
AMY1A 	 0
PPEF1-AS1 	 0
RP1-149A16.15 	 0
RP11-508N22.6 	 0
CTA-992D9.7 	 0
AC098828.2 	 0
RP3-523C21.2 	 0
RP11-509J21.2 	 1
RP11-460N20.3 	 0
XXbac-BPG181B23.4 	 0
RP11-305L7.5 	 0
RP11-275O4.1 	 0
AC087163.3 	 0
RP1-269M15.3 	 0
AF124730.4 	 2
XXbac-B33L19.6 	 0
RP11-159H3.2 	 0
RP5-1109J22.1 	 0
BX004987.2 	 0
AC008073.9 	 0
RP11-396D18.1 	 0
OR1M1 	 0
AC012363.10 	 0
RP11-6J24.3 	 0
AC113610.1 	 0
RP11-299H22.3 	 0
FLI1 	 0
AKR1B1P1 	 0
RP11-308N19.5 	 0
CCNB1IP1P1 	 0
LINC00348 	 0
RP5-1044H5.2 	 0
U82695.9 	 0
AC073069.2 	 0
AL928742.12 	 0
RP11-444I9.3 	 0
RP5-1030M6.3 	 0
PABPC1P12 	 0
FRY-AS1 	 0
RP11-379J5.5 	 0
AC092162.1 	 2
AC142119.1 	 0
RP11-336N8.1 	 0
AC007277.3 	 0
RP1-56L9.7 	 0
RP11-522L3.11 	 0
RP5-866L20.3 	 0
KRT18P27 	 0
RP5-869M20.2 	 0
RP11-111F5.6 	 0
AC006548.19 	 0
AC117947.1 	 0
AC093326.1 	 2
AC115283.1 	 0
OR5K2 	 1
RP11-272D20.2 	 0
AC009362.2 	 2
RP11-262I2.2 	 0
SULT1C2P1 	 0
RP3-389A20.5 	 0
OR9S24P 	 0
RP11-314A15.2 	 0
RP11-277B15.2 	 0
RP4-738P11.4 	 0
LINC00575 	 0
RP5-1185H19.2 	 0
GAPDHP51 	 0
TMEM233 	 0
HNRNPA1P29 	 0
SLC9A3P1 	 0
AC009303.3 	 0
RP13-24G8.2 	 0
AC064875.2 	 0
AC005592.2 	 0
TPM3P4 	 0
RP11-38J22.3 	 0
AC027119.1 	 0
AC068057.2 	 0
LINC00200 	 0
MTND4P31 	 2
RP11-122F14.2 	 0
MYOCD 	 0
RP11-33K5.1 	 0
RP11-561I11.3 	 0
GAPDHP69 	 0
RP3-426I6.3 	 0
LINC00462 	 0
RP5-1125A11.5 	 0
OSTCP5 	 0
RP11-382K22.1 	 0
RP11-219I21.1 	 0
AC073464.4 	 0
RP11-564C4.4 	 0
VN1R64P 	 0
AC007283.4 	 0
RP1-305B16.3 	 0
RP11-38L15.2 	 0
MIR137HG 	 0
RP11-1B20.1 	 0
RP1-144F13.3 	 1
RP11-503C24.2 	 0
AC068538.4 	 0
AC012501.2 	 2
RP11-349P19.1 	 1
RP11-397C12.1 	 0
OR10J1 	 0
RP13-43E11.1 	 0
AC073218.2 	 0
PRDM10 	 0
PPP1R11P2 	 2
RP11-336K24.4 	 0
RP1-127L4.10 	 0
CYP4Z2P 	 1
RP11-26H16.1 	 2
AC073310.4 	 0
AC108479.1 	 0
ACTG1P12 	 0
WI2-2994D6.2 	 0
RP11-101E14.3 	 0
AC068137.2 	 1
HCG20 	 0
CELA2B 	 0
MTTP 	 0
ADIPOQ-AS1 	 0
DPH3P2 	 2
DCUN1D2-AS1 	 0
RP11-275O4.2 	 0
RP11-54D18.4 	 0
RP11-123N4.4 	 0
RP11-469E19.1 	 0
RP11-307O1.1 	 0
RP4-677H15.4 	 0
RP11-374M1.4 	 0
RP1-93L7.2 	 0
AC073283.7 	 0
RP11-775L16.1 	 0
AC012506.4 	 0
RP11-281A20.2 	 0
RP11-417B4.4 	 0
RP5-1092K5.2 	 0
RP3-354J5.3 	 0
RP11-567J24.4 	 0
RP11-400N13.2 	 0
AC004538.3 	 0
RNGTTP1 	 2
AC006509.7 	 0
RP3-412A9.12 	 0
XXbac-BPG55C20.7 	 0
RP11-487E1.1 	 0
AC106873.4 	 0
AC092431.2 	 0
LGALSL 	 0
TMEM200B 	 2
AC079790.2 	 0
LPCAT2BP 	 0
RP11-498P14.4 	 0
RP5-1049N15.2 	 0
BPIFA4P 	 0
AC110769.3 	 2
AC092570.3 	 0
BANF1P4 	 0
RP11-78E6.1 	 0
RP11-539E19.2 	 0
EEF1A1P34 	 0
AC109826.1 	 0
RP3-388M5.8 	 0
AC093162.3 	 0
RPL17P17 	 0
SMYD1 	 0
RP11-8J9.1 	 0
KIRREL-IT1 	 0
RAC1P4 	 1
RP11-501J20.2 	 0
NLRC3 	 1
OR8B1P 	 0
AC012370.2 	 1
RP1-276N6.2 	 2
C14orf144 	 0
AC007879.5 	 1
RP11-113I24.1 	 0
ITCH-IT1 	 0
AC022173.2 	 0
LINC00276 	 0
DUTP8 	 0
AC010983.1 	 0
IFIT6P 	 0
FEZF1 	 0
AC097713.3 	 0
RP11-117P22.2 	 0
SMARCE1P1 	 0
AC093838.5 	 0
RP11-360D2.1 	 2
RP11-557H15.3 	 0
RP11-10A14.5 	 0
CTXN2 	 2
RP11-136C24.1 	 0
RP11-533K9.2 	 0
RP11-201O14.1 	 0
RP11-88B8.2 	 0
AC009960.7 	 0
RP11-5P18.1 	 0
AC004945.1 	 0
RP11-184B22.2 	 1
GPC5-IT1 	 2
RP3-410C9.2 	 0
GCNT1P1 	 0
RP11-189B4.6 	 0
RP5-1056L3.1 	 0
RP11-430G17.1 	 0
NCKAP5-IT1 	 0
AP000472.2 	 0
RP11-14C22.6 	 0
RP11-330M2.3 	 0
RP11-242G20.1 	 0
PIEZO1P2 	 0
RP11-169L17.3 	 0
AC152010.1 	 0
SERPINB13 	 0
CTA-397C4.2 	 0
KARSP2 	 0
RP11-248J23.5 	 0
METTL15P3 	 0
RP11-325E14.5 	 0
RP1-292B18.4 	 0
C4BPAP1 	 0
AC111200.8 	 0
FRMPD3-AS1 	 0
RPS5P2 	 0
LA16c-395F10.1 	 0
RP11-195M16.1 	 0
RP11-409K20.6 	 0
RP11-107G24.3 	 0
RP11-197P3.1 	 0
BTF3P8 	 0
ATG4C 	 0
RP11-33A14.1 	 0
LINC00398 	 0
RP4-566D2.1 	 0
VN1R7P 	 0
AC009237.5 	 0
AATK-AS1 	 0
RP11-482E14.1 	 0
RP11-526K21.2 	 0
RP4-560B9.5 	 0
RP11-522L3.5 	 0
LINC00211 	 0
PARP1P1 	 0
RP11-378J18.6 	 0
MIPEPP1 	 0
AC007875.3 	 0
OR2AT2P 	 0
RP11-298A8.2 	 0
RP11-227H15.5 	 0
RP11-439E19.6 	 2
RSU1P3 	 0
AL713998.1 	 0
NEFHP1 	 0
MYO16-AS2 	 1
RP4-800M22.2 	 0
RP11-307I14.3 	 0
CCDC148-AS1 	 0
AC009542.2 	 1
AC003101.1 	 0
CTD-2269E23.2 	 0
RP5-1114G22.2 	 0
UQCRFS1P1 	 0
BAATP1 	 0
CRYGEP 	 1
AC092638.1 	 2
HMGN1P20 	 0
RP11-301L8.2 	 0
POLHP1 	 0
AC118345.1 	 0
SNRPGP11 	 0
AZGP1 	 0
AC096921.2 	 0
RP11-211N8.1 	 0
RP1-86D1.4 	 0
RP11-31L23.3 	 0
RNA5SP450 	 0
AL662800.1 	 0
CNRIP1 	 0
LYG2 	 0
CCDC141 	 0
ST6GAL2 	 0
TAS2R40 	 2
OR52B4 	 0
RIMKLBP1 	 0
FAM218BP 	 0
MIR1307 	 0
AC130352.2 	 0
MIR1233-1 	 0
AC004924.1 	 1
MIR1271 	 0
MIR1287 	 0
AC023593.1 	 0
MIR320B2 	 0
AL441988.1 	 0
MIR1233-2 	 0
AC068020.1 	 0
RP11-207F8.1 	 0
RP1-209B5.2 	 0
RP11-812I20.2 	 0
RP1-273P12.1 	 0
RP11-244K5.6 	 1
SPTLC1P2 	 0
RP11-532F6.2 	 0
RP11-480N24.4 	 0
RP1-32I10.10 	 0
STEAP1B 	 0
RP11-775A3.1 	 0
HAUS4P1 	 0
OR2W4P 	 0
ATF1P1 	 0
RP1-303A1.1 	 0
RP11-135M8__A.1 	 0
RP3-415N12.1 	 0
RP1-28C20.1 	 2
RP1-319M7.2 	 0
RP3-368B9.1 	 2
AC007249.3 	 0
RP3-472M2.2 	 0
KRT18P50 	 0
RP1-152L7.3 	 0
RP11-173O8.1 	 0
RP11-278J20.2 	 0
RP1-95L4.2 	 0
HMGB1P17 	 0
RP11-129H15.4 	 0
RP11-397G5.2 	 0
STEAP2 	 2
KIF24 	 0
RP11-393I2.2 	 0
OR1F12 	 0
RP11-277I20.3 	 0
RP3-417O22.1 	 0
MBL3P 	 0
SERPINB8P1 	 0
RP5-988G15.1 	 0
LRRC72 	 0
AC008060.7 	 0
RSPO1 	 0
CFL1P6 	 0
RP11-351J23.1 	 0
MGC39584 	 0
PSMA6P1 	 1
DLGAP1 	 0
CYP51P3 	 2
RBBP4P3 	 0
RP11-8L18.2 	 0
RP11-217H19.1 	 0
GLULP6 	 0
RP11-328E22.11 	 0
CCRL2 	 0
KRTAP5-7 	 0
AC007389.4 	 2
KRTAP2-2 	 0
KRTAP9-1 	 2
FOXI3 	 0
DDX6P2 	 1
ZDHHC19 	 0
RP11-667M19.4 	 0
RP5-1100H13.3 	 0
PPARG 	 1
RP1-190J20.2 	 0
CYB5P4 	 0
CNN2P4 	 0
NHP2P2 	 0
ZNF586 	 0
FOXB1 	 0
AC093726.4 	 0
EIF4A1P8 	 0
AC002076.9 	 0
RP11-484D2.4 	 0
AC096664.2 	 0
C9orf171 	 2
GALNT13 	 0
CD300LB 	 0
KRT8P40 	 0
RP3-431P23.2 	 0
KLK10 	 0
LILRB4 	 0
KRTAP10-2 	 1
KRTAP3-2 	 0
AL356585.1 	 0
KRTAP4-11 	 0
KRTAP29-1 	 0
RNA5SP496 	 0
SNORD70 	 0
SNORD72 	 0
KRTAP4-4 	 0
IGHV3-73 	 0
IGHV3-53 	 0
IGHV5-51 	 0
IGHV1-45 	 0
IGHV3-30 	 0
IGHV4-28 	 0
TRAV26-2 	 0
TRBV20-1 	 0
TRBV6-4 	 0
MIR765 	 0
TMEM95 	 0
KIF19 	 0
KCNQ3 	 0
SNORD105 	 0
MIR576 	 0
MIR181B1 	 0
MIR579 	 0
MIR34A 	 0
MIR27A 	 0
MIR150 	 0
MIR657 	 0
MIR555 	 0
MIR639 	 0
RNU6-12 	 0
SNORD20 	 0
RNU6-18 	 0
RNY3P4 	 0
RNU6-13 	 0
RNU6-17 	 0
RNU6-80 	 0
RNU6-8 	 0
RNU6-32 	 0
DEFB109P1B 	 0
RP11-404K5.2 	 0
C1QTNF9B 	 0
PRH2 	 0
INSL6 	 0
CATSPERD 	 0
EMR1 	 1
AC073621.2 	 0
RP11-15H7.2 	 2
MRPS6P2 	 0
NLGN4X 	 0
FLT3 	 0
MEDAG 	 0
ASB11 	 0
UCN3 	 0
OR52J3 	 0
IFNW1 	 0
IFNA6 	 0
KRTAP10-10 	 0
LINGO2 	 0
NBEA 	 0
CSNK1A1L 	 0
RP11-352D3.2 	 0
RASSF2 	 0
CELF2-AS1 	 0
CXorf21 	 0
PAMR1 	 0
NRSN1 	 0
PCDHA8 	 0
LRRC3C 	 2
ULK4-IT1 	 0
C1orf200 	 0
SOX21 	 0
KLK9 	 0
HCG9 	 0
PTF1A 	 0
GAD2 	 0
PRAMEF5 	 0
COX4I2 	 0
AC079586.1 	 0
ROR2 	 0
CARD16 	 2
RP11-114H20.1 	 0
RP11-363G10.2 	 0
SPANXN5 	 0
BPIFB4 	 0
C9orf118 	 0
FOXE1 	 0
CORO2A 	 0
GPSM3 	 0
OR8B2 	 2
FLJ45079 	 0
ASIP 	 0
LPPR1 	 0
TMEM246 	 0
PPP3R2 	 0
NTM 	 0
EDA2R 	 0
SVEP1 	 2
DNAJC25-GNG10 	 0
C9orf84 	 1
C10orf128 	 0
C10orf53 	 0
MBL2 	 0
MAGEE2 	 0
ARHGAP40 	 2
POU3F4 	 0
TNMD 	 1
PGC 	 0
TOX2 	 1
WFDC12 	 0
SEMG1 	 0
ESX1 	 0
KLF17 	 0
CYP4X1 	 0
RP11-754J4.1 	 0
RHOXF2B 	 2
RP11-188C12.3 	 0
RP11-476E15.3 	 0
SH2D1A 	 2
CXorf64 	 0
ACTRT1 	 0
C1orf141 	 0
DNASE2B 	 0
CLCA4 	 2
FMR1NB 	 0
OPN1LW 	 0
IMPG1 	 0
FAM19A3 	 0
TECTB 	 0
VAX1 	 0
BVES-AS1 	 0
CRCT1 	 0
FAM162B 	 0
INSRR 	 0
FCRL5 	 0
MNDA 	 0
CFHR3 	 0
MYCT1 	 0
KLHDC8A 	 0
HLX 	 0
PRSS38 	 0
ACTA1 	 0
SLC35F3 	 0
OR2C3 	 0
OR2M5 	 0
AC061975.6 	 0
AC020907.2 	 0
RP11-101E5.1 	 0
AP003027.1 	 2
AL590489.1 	 0
RNA5SP37 	 0
RNU6-53 	 0
RNA5SP298 	 0
RN7SKP9 	 0
RNA5SP379 	 0
RNU5A-8P 	 0
RNU5E-10P 	 0
RNA5SP382 	 1
RNY4P5 	 0
RNA5SP195 	 0
SNORD62 	 0
MIRLET7I 	 0
MIR339 	 0
GPX7 	 2
MPEG1 	 0
TRDN 	 0
NUDT4P1 	 0
AC090519.1 	 0
CCT8L2 	 0
OR6K2 	 0
AC032027.1 	 1
FTHL17 	 0
AC111200.2 	 0
OR8D2 	 0
PRAMEF8 	 0
RSPO3 	 0
RP11-208N14.4 	 0
CLEC9A 	 0
TMEM207 	 0
AC090286.4 	 0
SYT5 	 0
DUOXA2 	 0
PTN 	 0
GLYAT 	 0
PLEKHG7 	 0
TPD52L3 	 0
CXorf48 	 1
NLRP13 	 0
FAM35A 	 0
SCGB1C1 	 0
TMEM215 	 2
HNRNPA1L2 	 0
OR14I1 	 0
ATP13A5 	 0
NANOS2 	 0
RBFOX1 	 0
HMX2 	 0
RLIMP1 	 0
PODNL1 	 0
FOXR2 	 0
CRISP2 	 0
DUPD1 	 0
TSPAN16 	 0
C2orf53 	 0
OR1J2 	 0
OR13F1 	 0
PGAM1P4 	 0
PDCD1 	 0
LINC00643 	 0
KRTAP13-4 	 0
ACTL7A 	 0
UGT3A1 	 0
AC017079.3 	 2
FAM43B 	 0
TRIM49B 	 0
AADACL3 	 0
FGF7P2 	 0
MARCH11 	 0
KRTAP11-1 	 0
MRGPRG 	 0
AC064834.4 	 0
NPBWR1 	 0
XAGE2 	 1
GPIHBP1 	 0
CXorf69 	 0
RXFP3 	 0
CNGA2 	 2
LPAR5 	 0
MRGPRX2 	 0
KRTAP8-1 	 0
MAGEA6 	 0
PRSS55 	 0
ST6GALNAC3 	 0
DSCR4 	 0
DNMT3B 	 0
OR8B8 	 0
SPRR4 	 0
FFAR3 	 0
AL132868.1 	 0
CETN1 	 0
EDDM3B 	 2
LCE1D 	 0
SPATA31E1 	 0
ENTHD1 	 0
FAM187B 	 2
SLC6A18 	 0
C7orf41 	 0
CYP11B2 	 0
OR52H1 	 0
GLYR1 	 0
KIAA1549L 	 0
AC079741.2 	 0
RP11-627G1.1 	 0
C9orf62 	 0
ETV4 	 1
CHST13 	 0
C12orf36 	 0
TSPYL6 	 2
SIGLEC7 	 0
ALX1 	 0
OR10Q1 	 0
ZNF540 	 0
AL033381.1 	 0
RP11-179B15.2 	 0
PRM1 	 0
RTP1 	 0
MOS 	 0
FAM170B 	 0
RAG2 	 2
LPL 	 0
CNGB1 	 0
CYP7B1 	 0
OR10A6 	 0
TLR10 	 0
APOBEC4 	 0
EVX2 	 0
TFCP2 	 0
KRT28 	 0
ATOH1 	 0
RP11-445P17.4 	 1
SLFN12 	 0
MIR31HG 	 2
SPACA5 	 0
ADCYAP1R1 	 0
OR1A1 	 0
ZNF439 	 0
MRAP 	 0
OR5B12 	 0
OR6F1 	 0
PIEZO2 	 0
NRXN2 	 0
CYP2A7 	 0
CPLX4 	 0
NLRP14 	 0
MAGEA9 	 0
BMPER 	 0
TLX3 	 0
HPGDS 	 0
CCDC140 	 0
CELA1 	 1
CCL23 	 0
CABP5 	 0
ZNF626 	 0
RP11-420K8.1 	 2
OR10J6P 	 2
SST 	 0
LHFPL4 	 0
ADCY8 	 0
SAMSN1 	 0
OR4K1 	 0
UNC93B2 	 0
TMPRSS15 	 0
ASB17 	 0
GRID2 	 0
POU4F2 	 0
SPATA4 	 0
OCSTAMP 	 0
IFNK 	 0
LRRTM2 	 0
FCRL4 	 0
PTH2 	 0
ZIM3 	 0
CDH2 	 2
METTL21C 	 0
OPRK1 	 0
FGF10 	 0
ELANE 	 0
C9 	 0
CDH20 	 0
AP000459.4 	 0
CORO2B 	 0
PSORS1C2 	 0
SIT1 	 0
BAAT 	 0
CHL1 	 0
LYVE1 	 0
SSTR4 	 0
MAS1 	 0
VCY1B 	 0
VCY 	 0
ART1 	 0
GDF2 	 0
RFPL2 	 0
OR7C2 	 0
TSKS 	 0
BCL2L12 	 0
OTOR 	 0
PTGIS 	 0
MC3R 	 0
NEUROG3 	 0
MYOG 	 0
MMP8 	 0
RP11-179H18.4 	 0
GZMK 	 2
IFNG 	 0
CRYBA1 	 0
PON1 	 0
TGM5 	 0
C20orf118 	 0
ADH1A 	 0
SCT 	 0
ST6GALNAC1 	 1
LCP2 	 0
CAMK1G 	 0
CEACAM7 	 0
SNORD92 	 0
KRT23 	 1
MIR3192 	 0
AC006480.1 	 0
RP11-17M24.1 	 0
RP11-214O1.3 	 0
MIR4478 	 0
AL358354.1 	 0
RP11-672L10.5 	 0
MIR5008 	 0
RP11-466A19.3 	 0
MIR548V 	 0
RP11-92G19.2 	 0
MIR4786 	 0
RP11-805F19.2 	 0
RP11-862L9.3 	 0
RP11-723G8.2 	 0
RP11-110H1.9 	 0
AL354981.1 	 0
CTC-297N7.5 	 0
MIR4512 	 0
MIR4497 	 0
RP4-777O23.2 	 0
hsa-mir-5572 	 0
RP11-51L5.4 	 0
RP11-476K15.1 	 0
AP000719.1 	 0
CTD-2514K5.4 	 0
RP11-107K17.2 	 0
CTB-187M2.3 	 0
AP002761.1 	 1
AC143336.1 	 0
RP11-419J16.1 	 0
C17ORF108 	 0
MIR544B 	 0
AC003006.1 	 0
CU459202.3 	 1
RP11-111H3.3 	 0
RP11-321A17.4 	 1
MIR4706 	 0
RP11-354P11.3 	 0
AC002395.1 	 0
RP11-408H20.2 	 0
MIR4257 	 0
RP11-61D1.2 	 0
RP11-178F10.3 	 0
AC123788.1 	 0
RP11-737O24.2 	 0
AL031768.1 	 0
CBLN2 	 0
RP11-1157N2__B.2 	 0
AC017028.9 	 0
AC104986.1 	 0
MIR4742 	 0
AL354928.1 	 0
MIR3153 	 0
AC108218.1 	 0
Z93241.1 	 0
MIR3671 	 0
AL513344.1 	 0
MIR4659B 	 0
RP11-269G24.2 	 0
MIR4666A 	 0
AP001631.1 	 0
AC068580.1 	 1
RP3-416J7.4 	 0
SRP72P1 	 0
RP11-433M22.2 	 0
MIR378H 	 0
AC073127.1 	 0
RP11-789C17.5 	 1
AL513547.1 	 0
AL158069.1 	 0
CTD-2350C19.5 	 0
MIR3923 	 0
MIR3909 	 0
RP11-218M11.3 	 0
RP11-343K8.3 	 0
RP5-906A24.2 	 0
MIR4738 	 0
AC073508.1 	 0
MIR4284 	 0
MIR5091 	 0
CCDC58P1 	 0
WWC2-AS2 	 0
AC010723.2 	 0
AC027348.1 	 0
AL353803.1 	 0
MIR4688 	 0
AC093788.1 	 0
AC099796.1 	 0
MIR4756 	 0
AL162424.1 	 0
RP1-56K13.5 	 0
AL139022.1 	 0
MIR4721 	 0
RP11-286N3.1 	 0
MIR3661 	 0
AL590282.1 	 0
AP003096.1 	 0
RP11-515E23.1 	 0
COX5BP2 	 0
RP11-567O16.1 	 0
RP11-46I8.1 	 0
RP11-81K2.1 	 0
RP11-1197K16.2 	 0
CTD-2561B21.4 	 0
SPNS3 	 0
CTD-2194A8.2 	 0
RP11-2C24.6 	 0
CTD-2377D24.8 	 0
RP11-669E14.4 	 0
CACNA1A 	 0
RP11-676J12.6 	 0
RP11-177N22.3 	 0
AP005530.2 	 0
RP11-502F1.2 	 0
RP11-876N24.2 	 0
CES1P1 	 1
RP11-636N17.1 	 0
MYL4 	 1
CTA-276F8.2 	 0
CTD-2033D24.2 	 0
RP11-1260E13.1 	 0
MMP2 	 0
RP11-401P9.5 	 0
RP11-332G1.1 	 0
RP11-326A19.3 	 0
ADAM3B 	 0
RP11-1006G14.3 	 0
RP11-775H9.3 	 0
RP11-496D24.2 	 0
LA16c-366D3.1 	 0
RP11-165M1.3 	 0
GS1-204I12.4 	 0
CTD-2144E22.2 	 0
RP11-80F22.5 	 0
C16orf92 	 0
RP11-325O24.5 	 0
RP11-510M2.5 	 0
CTD-2055G21.1 	 0
CTD-2014E2.5 	 0
RP11-347C12.9 	 1
RP11-1166P10.1 	 0
RP11-252K23.1 	 0
RP11-243A14.2 	 0
RP4-668E10.1 	 0
RP11-359E8.5 	 0
RP11-344A16.2 	 0
CTD-2336H13.2 	 0
CTD-2520I13.1 	 0
RP11-19N8.2 	 0
RP11-744I24.2 	 0
RP11-510M2.1 	 0
RP11-817O13.2 	 1
RP11-626G11.3 	 0
RP11-483P21.3 	 0
RP11-352B15.1 	 0
RP11-21B23.2 	 0
RP11-1166P10.6 	 0
RP11-143N13.1 	 0
RP11-93O14.1 	 0
VWA3A 	 0
TMEM204 	 0
RP11-124K4.1 	 0
RP11-426C22.4 	 0
RP11-481J2.1 	 0
RP11-407G23.1 	 0
RP11-357N13.2 	 0
RP11-540B6.3 	 0
RP11-170L3.4 	 1
RP11-787D11.1 	 0
RP11-382N13.6 	 0
RP11-247C2.1 	 0
CTD-2349B8.1 	 0
RP11-483E23.4 	 0
ANTXRL 	 0
RP11-430C1.2 	 0
RP11-449J10.1 	 0
RP11-80F22.7 	 0
RP11-185O21.1 	 0
CCDC135 	 0
RP11-467L24.1 	 0
CTD-2583P5.1 	 1
RP11-368L12.1 	 0
ADAD2 	 0
RP11-329J18.3 	 0
RP4-597A16.2 	 0
RP11-410C4.5 	 0
MEIOB 	 1
RP11-328J14.1 	 0
RP11-812E19.7 	 0
ABCD1P3 	 0
RP11-626K17.5 	 0
RP11-473I1.6 	 0
RP11-616M22.10 	 0
RP11-554A11.8 	 0
RP11-556H2.2 	 0
RP11-179B15.6 	 0
LRRC9 	 0
RP11-297C4.3 	 0
CTC-457E21.1 	 0
CTD-2555A7.1 	 0
RP11-80F22.6 	 0
RP11-618N24.1 	 0
RP11-44F21.5 	 0
RP11-343H19.1 	 0
RP11-665J16.1 	 0
RP11-297M9.1 	 0
RP11-189E14.4 	 0
RP1-240K6.3 	 0
CTD-2544M6.2 	 0
RP11-430B1.1 	 0
RP11-420M1.2 	 0
RP11-324D17.1 	 0
RP11-561C5.1 	 0
RP11-325L12.3 	 0
RP11-630H24.4 	 0
RP11-718O11.1 	 0
RP11-432J9.6 	 0
RP11-154B12.3 	 0
RP11-30K9.4 	 0
RP11-463I20.3 	 0
RP11-20G13.1 	 0
RP11-650L12.1 	 0
RP11-561C5.7 	 0
RP11-762H8.3 	 0
RP11-342A23.1 	 0
RP11-507B12.2 	 0
RP11-7M10.2 	 0
RP11-128A17.1 	 0
RP11-315L6.1 	 0
RP11-66B24.3 	 0
RP11-616K22.2 	 0
CTD-2611K5.5 	 0
RP11-505E24.3 	 0
RP11-307C19.3 	 0
RP11-26L20.3 	 1
RP11-182L7.1 	 0
RP11-210M15.3 	 0
CSH1 	 0
RP11-352D13.5 	 0
IGKV1D-27 	 0
RP11-798K3.2 	 0
RP11-516C1.1 	 0
RP11-139F4.2 	 0
CHRM5 	 1
